source,job_id,title,company_name,location_raw,remote_status,job_type,description,tags_raw,publication_date,job_url,salary_text_raw,scrape_date
Arbeitnow,freelance-marketing-manager-social-media-manager-konstanz-196883,Freelance Marketing Manager / Social Media Manager (m/w/d),NaturGEG Vital GmbH,Konstanz,Remote,Freelance,"Du unterstützt uns bei der Planung, Umsetzung und Optimierung unserer Marketingaktivitäten und hilfst dabei, unsere Marke online weiter auszubauen. Wenn du kreative Ideen, Interesse an Social Media und Erfahrung im Online-Marketing mitbringst, freuen wir uns auf deine Bewerbung. <h2>Aufgaben</h2> Entwicklung und Umsetzung von kreativen Social-Media-Strategien zur Steigerung der Markenbekanntheit Erstellung und Pflege von ansprechenden Inhalten für verschiedene Social-Media-Kanäle Analyse der Leistung von Social-Media-Inhalten und Erstellung von Berichten zur Optimierung zukünftiger Strategien Zusammenarbeit mit dem Team zur Planung und Durchführung von Online-Kampagnen Beobachtung von Social-Media-Trends, um innovative Ansätze zu entwickeln und die Marke frisch und relevant zu halten <h2>Qualifikation</h2> Mindestens 2 Jahre Erfahrung im Bereich Social Media Management oder Marketing Kenntnisse in der Erstellung und Umsetzung von Social Media Strategien Erfahrung mit Content-Management",Remote|Marketing and Communication,1778317222,https://www.arbeitnow.com/jobs/companies/naturgeg-vital-gmbh/freelance-marketing-manager-social-media-manager-konstanz-196883,,2026-05-10
Arbeitnow,senior-online-marketing-manager-braunschweig-247615,(Senior) Online Marketing Manager (m/w/d),LK Recruiting GmbH,Braunschweig,On-site,berufserfahren,"Entdecke eine spannende Karrierechance in einer jungen, dynamischen Digital-Agentur mit klarem Schwerpunkt im Recruiting. Wir suchen einen motivierten (Senior) Online Marketing Manager (m/w/d), der ausgezeichnete Erfahrungen im Bereich Meta Ads mitbringt. Werde Teil einer etablierten Digital-Agentur im Recruiting, die ihren Kunden ein garantiertes Wachstum ermöglicht. Wir entwickeln maßgeschneiderte Recruiting Strategien und übernehmen die Vorgespräche mit den Bewerbern, damit die Kunden sich auf ihr Kerngeschäft konzentrieren können. <h2>Aufgaben</h2> Als (Senior) Online Marketing Manager (m/w/d) bist Du erster Ansprechpartner (m/w/d) für die laufenden Kampagnen und META-Ads Erstellen und Optimieren von META-Ads Kampagnen Du behältst den Überblick über alle Kampagnen und bist Projektmanager (m/w/d) Du bildest die Schnittstelle zu den internen Foto-/Videografen, den Key-Account-Managern sowie zur Recruiting Abteilung, um eine optimale Qualität der eingehenden Bewerbungen zu gewährleist",Online Marketing,1778315426,https://www.arbeitnow.com/jobs/companies/lk-recruiting-gmbh/senior-online-marketing-manager-braunschweig-247615,,2026-05-10
Arbeitnow,art-director-senior-art-director-furth-428204,ART DIRECTOR / SENIOR ART DIRECTOR (M/W/D),DYADIC GmbH,Fürth,On-site,berufserfahren,"Wir, die DYADIC GmbH, sind eine B2B-Agentur, die fundierte Marken- und Produktkommunikation entwickelt. Dabei arbeiten wir seit über 20 Jahren als Lead-Agentur für international agierende Technologieführer aus den Bereichen Industrie und Healthcare. Wir konzipieren und kreieren Kampagnen, Websites, Videos, Key Visuals, Social Media Assets, Illustrationen, Messe-Applikationen, Launch Shows und vieles mehr. Unser Team ist geprägt von gegenseitiger Wertschätzung, Inspiration und Unterstützung. Digital, flexibel ist bei uns normal. Als zukunftsorientierte Agentur sind wir es gewohnt, zeitgemäße Tools für die ortsunabhängige Zusammenarbeit zu nutzen, schätzen aber auch den gemeinsamen Austausch vor Ort. <h2>Aufgaben</h2> Du entwickelst visuelle Konzepte für international agierende Unternehmen aus den Bereichen Industry und Healthcare. Oft auf Englisch. Du arbeitest an der Konzeption, Gestaltung und Umsetzung von Screendesigns, AV-Medien und digitalen Inhalten. Du konzipierst und entwickelst",Graphic Arts and Communication Design,1778315425,https://www.arbeitnow.com/jobs/companies/dyadic-gmbh/art-director-senior-art-director-furth-428204,,2026-05-10
Arbeitnow,personalmanager-schwerpunkt-disposition-hamburg-106521,Personalmanager Schwerpunkt Disposition (m/w/d),EHG Elb Handwerk GmbH,Hamburg,On-site,berufserfahren,"Du hast ein gutes Gespür für Menschen, organisierst gerne und behältst auch dann den Überblick, wenn mehrere Dinge gleichzeitig laufen? Perfekt – dann könnte das hier genau dein Ding sein. Bei ELB HANDWERK bringst du unsere Mitarbeiter:innen aus dem Maler- und Lackiererhandwerk mit den passenden Kundenbetrieben zusammen. Du bist zentrale Ansprechperson für beide Seiten, koordinierst Einsätze und sorgst dafür, dass im Alltag alles rund läuft. <h2>Aufgaben</h2> Kurz gesagt: Du hältst alles zusammen. Du bist im Austausch mit Mitarbeiter:innen, Bewerber:innen, Kunden und dem Team im Personalmanagement – und sorgst dafür, dass aus Planung verlässliche Einsätze werden. Im Detail heißt das: ⁠⁠Du bist im täglichen Austausch mit unseren Mitarbeiter:innen ⁠⁠Du planst und koordinierst ihre Einsätze bei unseren Kundenbetrieben ⁠⁠Du pflegst bestehende Kundenbeziehungen und baust neue Kontakte auf ⁠⁠Du führst erste Gespräche mit Bewerber:innen und begleitest den Einstellungsprozess ⁠⁠Du arbeitest en",Recruitment and Selection,1778313649,https://www.arbeitnow.com/jobs/companies/ehg-elb-handwerk-gmbh/personalmanager-schwerpunkt-disposition-hamburg-106521,,2026-05-10
Arbeitnow,senior-full-stack-kotlin-engineer-station-management-inventory-berlin-152257,Senior Full-Stack Kotlin Engineer (m/f/d) - Station Management & Inventory,Flix,"Berlin, Berlin, Germany",On-site,,"<span style=""font-size: 12pt;""><span data-contrast=""none"">We are looking for a motivated and curious Senior Full-Stack Engineer </span><span data-contrast=""none"">(Kotlin)</span><span data-contrast=""none"">&nbsp;to&nbsp;join our team&nbsp;in&nbsp;Supply&nbsp;Division&nbsp;and drive customer station experience to the next level!</span><span data-ccp-props=""{&quot;134233117&quot;:false,&quot;134233118&quot;:false,&quot;335557856&quot;:16777215,&quot;335559738&quot;:180,&quot;335559739&quot;:0}"">&nbsp;</span></span> <span style=""font-size: 12pt;""><span data-contrast=""none"">In an&nbsp;ever growing&nbsp;network, Flix customers worldwide expect a comfortable and seamless experience at our stations as part of their travel experience. Our self-organized, cross-functional&nbsp;and distributed team builds products to enable Flix station managers to scale management of the station inventory, which a wide range of internal tech teams across Flix depend on, and overall serves to improve the experienc",,1778309120,https://www.arbeitnow.com/jobs/companies/flix/senior-full-stack-kotlin-engineer-station-management-inventory-berlin-152257,,2026-05-10
Arbeitnow,senior-product-manager-germany-306674,Senior Product Manager,Gradle Technologies,Germany,On-site,,"<h2>Who We Are</h2> AI is changing how software gets built. Code production is becoming a commodity. The focus is shifting from writing code to orchestrating, verifying, and governing change – and the toolchain is the new constraint. Gradle is at the center of this shift. We build Develocity, a first-of-its-kind toolchain observability and intelligence platform used by some of the world's leading software organizations – Netflix, Airbnb, Spotify, SAP, major global banks, and hundreds more. Develocity helps software teams achieve delivery excellence through deep observability, build and test acceleration, and AI-powered intelligence across the entire toolchain – for Gradle Build Tool, Apache Maven™, sbt, npm, Python, with support for additional build tools coming soon. We are an AI-native company. AI is not a feature we're bolting on – it's central to how we work, how we think about our product, and where we're heading. We're investing deeply in making Develocity's unique data and decad",,1778309118,https://www.arbeitnow.com/jobs/companies/gradle-technologies/senior-product-manager-germany-306674,,2026-05-10
Arbeitnow,senior-cloud-software-engineer-typescript-aws-hamburg-431856,Senior Cloud Software Engineer (TypeScript & AWS) (m/w/d),vOffice Software,Hamburg,Remote,,"Hey! Hast du Lust, Teil eines jungen und dynamischen Teams zu werden, das mit Leidenschaft und Innovation die Ferienvermietungsbranche revolutioniert? vOffice entwickelt die moderne All-in-One Software, mit der bereits rund 50.000 Ferienunterkünfte vermietet werden. Durch eine Vielzahl an Innovationen und ausgereiften Schnittstellen hat sich unsere Software zum absoluten Marktstandard entwickelt. Wir suchen eine/n <em>Senior Cloud Software Engineer in Typescript und AWS,</em> die/der mit uns gemeinsam die Digitalisierung der Branche vorantreiben möchte. Wenn du Werte wie Kommunikation, Antrieb, Innovation, Lernen, Leidenschaft und Teamarbeit teilst und bereit bist, in einem cross-funktionalen Team zu arbeiten, dann bist du genau richtig bei uns. Komm zu vOffice und hilf uns, die Zukunft der professionellen Ferienvermietung zu gestalten! <h2>Aufgaben</h2> Als Senior Entwickler*in bringst du eine mehrjährige Erfahrung in der Software-Entwicklung mit und bist maßgeblich an der Konzeption ",Remote|Software Development,1778336943,https://www.arbeitnow.com/jobs/companies/voffice-software/senior-cloud-software-engineer-typescript-aws-hamburg-431856,,2026-05-10
Arbeitnow,risk-controller-regulatory-reporting-corep-crr-munich-419592,"Risk Controller Regulatory Reporting (COREP, CRR)",coni+partner AG,Munich,On-site,berufserfahren,"coni + partner ist ein seit 1993 bestehendes Beratungshaus mit Sitz in Zürich und Niederlassungen in Düsseldorf und Shanghai. Unsere Stärke ist die passgenaue Besetzung von Positionen entsprechend der Unternehmenskultur, unter genauer Betrachtung fachlicher Kompetenzen, Referenzen und «soft skills» der Kandidaten. Unser Kunde ist eine internationale Bank in Zürich. Wir suchen einen Accounting-Spezialisten (m, w, d) als Risk Controller Regulatory Reporting (COREP, CRR) <h2>Aufgaben</h2> Mitarbeiter in einem kleinen Spezialisten-Team des Group Risks / Erstellung des Regulatory Reportings (COREP) auf monatlicher oder quartalsmässiger Basis für das Senior Management und die Finanzmarktaufsicht / Ermittlung und Controlling der Capital Requirements (Basel III, CRD, CRR) / Analyse und Beurteilung der Kapitaladäquanz / Erstellung eines Recovery-Plans / Monitoring der regulatorischen Entwicklungen nach Basel III Pillar 1 / Beurteilung regulatorischer Neuerungen, Ermittlung von Auswirkungsanalys",Controlling,1778302831,https://www.arbeitnow.com/jobs/companies/conipartner-ag/risk-controller-regulatory-reporting-corep-crr-munich-419592,,2026-05-10
Arbeitnow,operations-manager-marketplace-manager-e-commerce-30-stunden-schwarzach-am-main-hybrid-42204,Operations Manager / Fulfillment Manager (m/w/d) Lager & Versand | 20 Stunden | perspektivisch Vollzeit,Powershop4U GmbH,Schwarzach am Main,On-site,teamleitung,"Die Powershop4U GmbH ist ein inhabergeführtes Unternehmen mit eigenem Lagerstandort in Schwarzach am Main. Unser Schwerpunkt liegt auf Lagerbetrieb, Versand und dem Aufbau einer praxisnahen Fulfillment-Dienstleistung für externe Kunden. Wir arbeiten mit kurzen Entscheidungswegen, einem kleinen Team und ohne Konzernstrukturen. Gesucht wird keine reine Bürorolle, sondern jemand, der operative Verantwortung im Lager übernimmt und Prozesse direkt vor Ort verbessert. <h2>Aufgaben</h2> Operatives Lagermanagement (Kernaufgabe) Aktive Mitarbeit im Tagesgeschäft (Wareneingang, Einlagerung, Kommissionierung, Verpackung, Versand) Optimierung von Laufwegen, Packplätzen und Lagerstruktur Einführung klarer Arbeitsabläufe und Standards im Lager Sicherstellung sauberer, effizienter und nachvollziehbarer Prozesse Unterstützung und Anleitung von Aushilfen oder neuen Mitarbeitern Versand &#x26; Fulfillment Erstellung von Versandetiketten und Versandabwicklung Abstimmung mit Versanddienstleistern Aufbau u",Business Operations,1778317143,https://www.arbeitnow.com/jobs/companies/powershop4u-gmbh/operations-manager-marketplace-manager-e-commerce-30-stunden-schwarzach-am-main-hybrid-42204,,2026-05-10
Arbeitnow,fachinformatiker-systemintegration-systemadministrator-wittlich-472287,Fachinformatiker Systemintegration / Systemadministrator (m/w/d),IT Fabrik Systemhaus GmbH u. Co.KG,Wittlich,On-site,,"Wir sind ein erfolgreiches IT Systemhaus und suchen motivierte Fachinformatiker (m/w/d), die uns mit ihrem Fachwissen und ihrer Leidenschaft für Technologien unterstützen. Als Teil unseres dynamischen Teams werdet ihr die Möglichkeit haben, an spannenden Projekten mitzuwirken und innovative Lösungen für unsere Kunden zu entwickeln. Wenn ihr mit uns die Zukunft der IT gestaltet möchtet, dann freuen wir uns auf eure Bewerbung. Die Aufgaben Konzeptionierung, Umsetzung und Betreuung von Microsoft 365 / Office 365 Strukturen Konfiguration und Administration von Windows Servern (2012/2016/2019) Konzeption, Umsetzung und Betreuung von virtuellen Systemen (HyperV, Vmware) Aufbau und Betreuung von Kundennetzen eigenverantwortliche Betreuung und Durchführung von IT-Projekten Kundensupport und Kundenbetreuung Hard- und Softwareinstallationen Systemanforderungen an dich sehr gute Kenntnisse in der Administration von Windows Servern/Clients gute Kenntnisse im Bereich Netzwerktechnik, Firewalls, Rou",System and Network Administration,1778286655,https://www.arbeitnow.com/jobs/companies/it-fabrik-systemhaus-gmbh-u-cokg/fachinformatiker-systemintegration-systemadministrator-wittlich-472287,,2026-05-10
